id,title,authors,categories,image_filename,genre
192,Recursion,Blake Crouch,Fiction,science_fiction/0192.jpg,science_fiction
193,Putting the Science in Fiction,Dan Koboldt,Language Arts & Disciplines,science_fiction/0193.jpg,science_fiction
194,The Soldier,Neal Asher,Fiction,science_fiction/0194.jpg,science_fiction
195,Starship Troopers,Robert Anson Heinlein,Fiction,science_fiction/0195.jpg,science_fiction
196,The Shadow Rising,Robert Jordan,Fiction,science_fiction/0196.jpg,science_fiction
197,Big Book of Science Fiction,Groff Conklin,Science fiction,science_fiction/0197.jpg,science_fiction
198,Science Fiction,Adam Roberts,Literary Criticism,science_fiction/0198.jpg,science_fiction
199,The Gollancz Book of South Asian Science Fiction Volume 2,Tarun K. Saint,Fiction,science_fiction/0199.jpg,science_fiction
200,Nineteen Eighty-Four,George Orwell,,science_fiction/0200.jpg,science_fiction
201,Astounding,Alec Nevala-Lee,Biography & Autobiography,science_fiction/0201.jpg,science_fiction
202,Rise of the TaiGethen,James Barclay,Elves,science_fiction/0202.jpg,science_fiction
203,The Hitchhiker's Guide to the Galaxy: The Original Radio Scripts,Douglas Adams,Performing Arts,science_fiction/0203.jpg,science_fiction
204,Machines in the Head,Anna Kavan,Fiction,science_fiction/0204.jpg,science_fiction
205,Tomorrow's Kin,Nancy Kress,Fiction,science_fiction/0205.jpg,science_fiction
206,Never Let Me Go,Kazuo Ishiguro,Fiction,science_fiction/0206.jpg,science_fiction
207,The One Impossible Labyrinth,Matthew Reilly,Fiction,science_fiction/0207.jpg,science_fiction
208,The Rise of Sivagami,Anand Neelakantan,"Historical fiction, Indic (English)",science_fiction/0208.jpg,science_fiction
209,The Great Dune Trilogy,Frank Herbert,Fiction,science_fiction/0209.jpg,science_fiction
210,The Fortunate Fall,Raphael Carter,Fiction,science_fiction/0210.jpg,science_fiction
211,Space Novels,Jules Verne,Interplanetary voyages,science_fiction/0211.jpg,science_fiction
212,Reading Science Fiction,"James Gunn, Marleen Barr, Matthew Candelaria",Language Arts & Disciplines,science_fiction/0212.jpg,science_fiction
213,Science Fiction Authors,Maura Heaphy,Language Arts & Disciplines,science_fiction/0213.jpg,science_fiction
214,Science Fiction - The Evolutionary Mythology of the Future,Thomas Lombardo,Literary Criticism,science_fiction/0214.jpg,science_fiction
215,Science Fiction Criticism,Rob Latham,Literary Criticism,science_fiction/0215.jpg,science_fiction
216,Cents of Wonder - Science Fiction's First Award Winners,"Steve Davidson, Kermit Woodall",Fiction,science_fiction/0216.jpg,science_fiction
217,Library of Congress Subject Headings,Library of Congress,"Subject headings, Library of Congress",science_fiction/0217.jpg,science_fiction
218,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",science_fiction/0218.jpg,science_fiction
219,Canopus in Argos,Doris Lessing,"Science fiction, English",science_fiction/0219.jpg,science_fiction
220,Targeting Media,Annemarie Lopez,Language Arts & Disciplines,science_fiction/0220.jpg,science_fiction
221,Beginning Database Design,Gavin Powell,Computers,science_fiction/0221.jpg,science_fiction
222,Few Things Left Unsaid,Sudeep Nagarkar,Fiction,romance/0222.jpg,romance
223,Fully Ignited,Shannon Stacey,Fiction,romance/0223.jpg,romance
224,Ignite Me (Shatter Me),Tahereh Mafi,Juvenile Fiction,romance/0224.jpg,romance
225,Modern Romance,"Aziz Ansari, Eric Klinenberg",Humor,romance/0225.jpg,romance
226,The Lotus Palace,Jeannie Lin,Fiction,romance/0226.jpg,romance
227,How to Romance the Woman You Love,"Lucy Sanna, Kathy Miller",Family & Relationships,romance/0227.jpg,romance
228,Reading the Romance,Janice A. Radway,Social Science,romance/0228.jpg,romance
229,Murphy's Romance,Max Schott,Fiction,romance/0229.jpg,romance
230,The Jinni Key,Bethany Atazadeh,Young Adult Fiction,romance/0230.jpg,romance
231,It Happened One Summer,Tessa Bailey,Fiction,romance/0231.jpg,romance
232,Romancing the Beat,Gwen Hayes,Romance fiction,romance/0232.jpg,romance
233,Silence is Golden,Robert Thier,,romance/0233.jpg,romance
234,The Unwanted Wife,Natasha Anders,Domestic fiction,romance/0234.jpg,romance
235,My Sister's Boss,P G Van,,romance/0235.jpg,romance
236,The Ancient Romances,Ben E. Perry,Literary Criticism,romance/0236.jpg,romance
237,Anglicising Romance,Rhiannon Purdie,Literary Criticism,romance/0237.jpg,romance
238,Library of Congress Subject Headings,"Library of Congress, Library of Congress. Subject Cataloging Division, Library of Congress. Office for Subject Cataloging Policy",Subject headings,romance/0238.jpg,romance
239,Nine Medieval Romances of Magic,Marijane Osborn,Poetry,romance/0239.jpg,romance
240,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",romance/0240.jpg,romance
241,Subject Headings Used in the Dictionary Catalogues of the Library of Congress,"Library of Congress, Library of Congress. Subject Cataloging Division",Subject headings,romance/0241.jpg,romance
242,Third Language Acquisition and Universal Grammar,Yan-kit Ingrid Leung,Language Arts & Disciplines,romance/0242.jpg,romance
243,Novel Definitions,Cheryl L. Nixon,Literary Criticism,romance/0243.jpg,romance
244,"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,English fiction,romance/0244.jpg,romance
245,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Reference,romance/0245.jpg,romance
246,International Encyclopedia of Linguistics,William Frawley,Language Arts & Disciplines,romance/0246.jpg,romance
247,Encyclopedia of Comic Books and Graphic Novels,M. Keith Booker,Social Science,romance/0247.jpg,romance
248,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",Children's literature,romance/0248.jpg,romance
249,Class Fictions,Pamela Fox,Literary Criticism,romance/0249.jpg,romance
250,Adoring Outlander,Valerie Estelle Frankel,Literary Criticism,romance/0250.jpg,romance
251,"Historicizing the Enlightenment, Volume 2",Michael McKeon,History,romance/0251.jpg,romance
252,Intertextuality and Victorian Studies,Sudha Shastri,Language Arts & Disciplines,romance/0252.jpg,romance
253,Romance Writing,Lynne Pearce,Language Arts & Disciplines,romance/0253.jpg,romance
254,Film Genre for the Screenwriter,Jule Selbo,Performing Arts,romance/0254.jpg,romance
255,Culture and Society in Medieval Galicia,,History,romance/0255.jpg,romance
256,Breaking the Alien Love Curse,Veronica Scott,Fiction,romance/0256.jpg,romance
257,"The Readers' Advisory Guide to Genre Fiction, Third Edition","Neal Wyatt, Joyce G. Saricks",Language Arts & Disciplines,romance/0257.jpg,romance
258,"Catalogue of the Mathematical, Historical Bibliographical and Miscellaneous Portion of the Celebrated Library ... Apr. 26, 1861 ...",Guillaume Libri,,romance/0258.jpg,romance
259,Encyclopedia of the Novel,Paul Schellinger,Literary Criticism,romance/0259.jpg,romance
260,The Structure and Ideology of Romance Fiction,Michael Andrew Young,,romance/0260.jpg,romance
261,Translation and Temporality in Benoît de Sainte-Maure's Roman de Troie,Maud Burnett McInerney,Literary Collections,romance/0261.jpg,romance
262,Dying for You,Jenny Frame,Fiction,romance/0262.jpg,romance
263,Boss Me Dirty,Parker Grey,,romance/0263.jpg,romance
264,Kiss To Forget,Anna B Doe,,romance/0264.jpg,romance
265,The Cambridge History of English Poetry,Michael O'Neill,Literary Criticism,romance/0265.jpg,romance
266,Library of Congress Subject Headings,"Library of Congress, Library of Congress. Subject Cataloging Division, Library of Congress. Office for Subject Cataloging Policy",Subject headings,romance/0266.jpg,romance
267,100 Days of Sunlight,Abbie Emmons,Young Adult Fiction,romance/0267.jpg,romance
268,Nine Medieval Romances of Magic,Marijane Osborn,Poetry,romance/0268.jpg,romance
269,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",romance/0269.jpg,romance
270,Subject Headings Used in the Dictionary Catalogues of the Library of Congress,"Library of Congress, Library of Congress. Subject Cataloging Division",Subject headings,romance/0270.jpg,romance
271,Third Language Acquisition and Universal Grammar,Yan-kit Ingrid Leung,Language Arts & Disciplines,romance/0271.jpg,romance
272,Novel Definitions,Cheryl L. Nixon,Literary Criticism,romance/0272.jpg,romance
273,"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,English fiction,romance/0273.jpg,romance
274,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Reference,romance/0274.jpg,romance
275,International Encyclopedia of Linguistics,William Frawley,Language Arts & Disciplines,romance/0275.jpg,romance
276,Encyclopedia of Comic Books and Graphic Novels,M. Keith Booker,Social Science,romance/0276.jpg,romance
277,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",Children's literature,romance/0277.jpg,romance
278,Class Fictions,Pamela Fox,Literary Criticism,romance/0278.jpg,romance
279,Adoring Outlander,Valerie Estelle Frankel,Literary Criticism,romance/0279.jpg,romance
280,"Historicizing the Enlightenment, Volume 2",Michael McKeon,History,romance/0280.jpg,romance
281,Intertextuality and Victorian Studies,Sudha Shastri,Language Arts & Disciplines,romance/0281.jpg,romance
282,Film Genre for the Screenwriter,Jule Selbo,Performing Arts,romance/0282.jpg,romance
283,Breaking the Alien Love Curse,Veronica Scott,Fiction,romance/0283.jpg,romance
284,Culture and Society in Medieval Galicia,,History,romance/0284.jpg,romance
285,"Catalogue of the Mathematical, Historical Bibliographical and Miscellaneous Portion of the Celebrated Library ... Apr. 26, 1861 ...",Guillaume Libri,,romance/0285.jpg,romance
286,Encyclopedia of the Novel,Paul Schellinger,Literary Criticism,romance/0286.jpg,romance
287,The Structure and Ideology of Romance Fiction,Michael Andrew Young,,romance/0287.jpg,romance
288,Stories about Stories,Brian Attebery,Fiction,romance/0288.jpg,romance
289,Teaching Tainted Lit,Janet G. Casey,Education,romance/0289.jpg,romance
